Códigos Padre,Código Servinte,Descripción Antigua,Código Nuevo Estándar,Nueva Estructura Estándar Semántico,Caracteres,Clasificación Del Artículo,MCE,Psicotrópico (S/N),Marcación Regulado (MER),vesicantes e irritantes,Registro INVIMA,Expediente,Consecutivo,CUM sin ceros,CUM con ceros,CUM sin ceros Formulado,PBS,VEN,ATC,Código UDM,descripción UDM,Cond. de Almacenamiento,MIPRES DCI,Alto riesgo,LASA,Gabinete,Nivel 1 Estándar Semántico,Validación CUM,Inventario 24052024,Observación Reunión Compras 20240524,Validación CUM,Validación con CUM Adjudicación,Principio Activo,Nombre ATC,Nombre Preciso,Concentración Estandarizada (por unidad minima comercial),Forma Farmacéutica,Marca Comercial,Titular de Registro,IMPORTADOR,FABRICANTE,Vía Administración,Descripción CUM
130018,130018,DOXORRUBICINA 50 MG,1300180,DOXORUBICINA CLORHIDRATO 2MG/1ML SOL INYECTABLE IV VIAL *25ML FRESENIUS CJ *1U,78,MEDICAMENTO,NO,N,MER,,2023M-0013582-R1,20043047,1,20043047-1,20043047-01,20043047-1,PBS,E,L01DB01,VL,VIAL,ALMACENAR DE 2 A 8 GRADOS CENTIGRADOS,0,S,N,N,DOXORUBICINA 50MG/25ML(2MG/ML) SOL INY,Activo,1,ajustadon en excel para hora cero,20043047-2,Actualizar Cum Negociacion 2024-2025,DOXORUBICINA CLORHIDRATO,DOXORUBICINA,,2mg,SOLUCION INYECTABLE,,FRESENIUS KABI,FRESENIUS KABI COLOMBIA S.A.S,FRESENIUS KABI ONCOLOGY LIMITED,INTRAVESICAL,CAJA POR UN VIAL DE VIDRIO TIPO I POR 25 ML. CON TAPÃ“N DE CAUCHO. AGRAFE DE ALUMINIO Y TAPA TIPO FLIP OFF.
130079,130079,DOXORUBICINA LIPOSOMAL 20MG 10ML (CAELYX),1300790,DOXORUBICINA LIPOSOMAL PEG 2MG/1ML SUSP INYECTABLE IV FCO *10ML FARMACEUTICA PARAG. CJ *1U (DOXOPEG),100,MEDICAMENTO,NO,N,MER,,2020M-0007063-R1,19969115,1,19969115-1,19969115-01,19969115-1,PBS,E,L01DB01,FR,FRASCO,ALMACENAR DE 2 A 8 GRADOS CENTIGRADOS,0,S,N,N,DOXORUBICINA LIPOSOMAL PEGILADA 20MG/10ML(2MG/ML) SOL INY / SUSP INY,Activo,8,ok,19969115-1,VERDADERO,DOXORUBICINA CLORHIDRATO,DOXORUBICINA,,2mg,SUSPENSION INYECTABLE,DOXOPEG,FARMACEUTICA PARAGUAYA S.A.,ADIUM SAS,FARMACEUTICA PARAGUAYA S.A.,INTRAVENOSA,CAJA POR 1 FRASCOS AMPOLLA DE VIDRIO TIPO ISIN DATOPOR 10 ML CONTIENE 20 MG
190006,190006,PENICILAMINA 250MG,1900060,D-PENICILAMINA 250MG CAPSULA DURA ORAL RUBIO (CUPRIPEN),55,MEDICAMENTO,NO,N,N/A,,2021M-001651-R3,56619,1,56619-1,56619-01,56619-1,PBS,N/A,M01CC01,CA,CAPSULAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,D-PENICILAMINA 250MG CAP / TAB / TAB REC,Activo,24,ok,#N/D,Medicamento sin negociacion vigente. Ningun proveedor lo cotizo,D-PENICILAMINA,PENICILAMINA,,250mg,CAPSULA DURA,CUPRIPEN,LABORATORIOS RUBIO S.A.,LABORATORIOS SYNTHESIS S.A.S.,LABORATORIOS RUBIO S.A.,ORAL,CAJA POR 30 CAPSULAS EN BLISTER PVC/ALUMINIO.
191027,191027,DOSIS DTPA 5 MCI,1910270,DTPA 5MCI SOL INYECTABLE IV SELIG,33,RADIOFARMACO,NO,N,N/A,,RADIOFARMACO,N/A,N/A,N/A-N/A,N/A-N/A,N/A-N/A,PBS,N/A,N/A,DS,DOSIS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,DTPA 5 MCI SOL INY MAGISTRAL,RADIOFARMACO / MAGISTRAL,6,ok,N/A-N/A,VERDADERO,DTPA,NO APLICA,,5MCI,SOLUCION INYECTABLE,,SELIG,#N/D,#N/D,INTRAVENOSA,#N/D
162001,162001,DULOXETINA 60MG,1620010,DULOXETINA 60MG CAPSULA ORAL BUSSIE CJ *30U (DUXETINA),54,MEDICAMENTO,NO,N,MER,,2022M-0011638-R2,20019446,3,20019446-3,20019446-03,20019446-3,PBS,E,N06AX21,CA,CAPSULAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,S,DULOXETINA 60MG CAP LIB RET / TAB LIB RET,Activo,86,ajustadon en excel para hora cero,20019446-3,Cum Negociado columna AI. Actualizar SERVINTE. CUM de Base Excel OK,DULOXETINA,DULOXETINA,,60mg,CAPSULA DURA,DUXETINA,LABORATORIOS BUSSIE S.A.,LABORATORIOS BUSSIE S.A,LABORATORIOS BUSSIE S.A,ORAL,CAJA POR 30 CAPSULAS EN BLISTER PVC-PVDC/ALU
140070,140070,DURVALUMAB 50 MG/1ML POLVO SLN INY AZTRAZENECA (IMFINZI)* FCO 10 ML,1400700,DURVALUMAB 50MG/1ML SOL CONCENTRADA PARA INFUSION IV VIAL *10ML AZTRAZENECA CJ *1U (IMFINZI),92,MEDICAMENTO,NO,N,MER,,2019MBT-0019214,20143749,1,20143749-1,20143749-01,20143749-1,PBS,N/A,L01XC28,VL,VIAL,ALMACENAR DE 2 A 8 GRADOS CENTIGRADOS,0,S,N,N,DURVALUMAB 500MG/10ML(50MG/1ML) SOL INY,1D1030021000100,0,ok,20143749-1,VERDADERO,DURVALUMAB,DURVALUMAB,,50mg,SOLUCION CONCENTRADA PARA INFUSION,IMFINZI,ASTRAZENECA,ASTRAZENECA COLOMBIA S.A.S,CATALENT INDIANA LLC,INTRAVENOSA,CAJA X 1 VIAL CON 10 ML DE CONCENTRADO PARA SOLUCIÃ“N PARA INFUSIÃ“N CONTENIENDO 500 MG DE DURVALUMAB.
1400720,1400720,DUTASTERIDE/CLORHIDRATO TAMSULOSINA 0.5/0.4 MG CAPSULA DURA DUODART GLAXOSMITHKLINE COL.S.A. CJ*30 U,1400720,DUTASTERIDE 0.5MG/TAMSULOSINA 0.4 MG CAPSULA DURA ORAL GLAXOSMITHKLINE CJ*30 U (DUODART),88,MEDICAMENTO,NO,N,MER,,2016M-0011533-R1,20020466,7,20020466-7,20020466-07,20020466-7,PBS,E,G04CA52,CA,CAPSULAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,DUTASTERIDA+TAMSULOSINA CLORHIDRATO (0.5+0.4)MG CAP / TAB / TAB REC,Activo,40,ok,20020466-7,VERDADERO,DUTASTERIDA+TAMSULOSINA CLORHIDRATO,TAMSULOSINA Y DUTASTERIDA,,0.5mg,CAPSULA DURA,DUODART,GLAXOSMITHKLINE COLOMBIA,GLAXOSMITHKLINE COLOMBIA S.A.,CATALENT GERMANY SCHORNDORF GMBH,ORAL,CAJA DE CARTÃ“N POR 30 CÃPSULAS DURAS EN FRASCOS DE POLIETILENO DE ALTA DENSIDAD (HDPE) DE COLOR BLANCO OPACO CON CIERRES DE POLIPROPILENO A PRUEBA DE NIÃ‘OS. CON FORROS DE SELLADO POR INDUCCIÃ“N DE 100ML.
140041,140041,ECULIZUMAB 300 MG SLN INY X 30 ML,1400410,ECULIZUMAB 10MG/1ML SOL CONCENTRADA A INFUSION IV VIAL *30ML ALEXION CJ *1U (SOLIRIS),85,MEDICAMENTO,NO,N,MER,,2017MBT-0012634-R1,20028870,1,20028870-1,20028870-01,20028870-1,NO PBS,N/A,L04AA25,VL,VIAL,ALMACENAR DE 2 A 8 GRADOS CENTIGRADOS,8231,S,N,N,ECULIZUMAB 300MG/30ML(10MG/ML) SOL INY,Activo,1,ok,20028870-1,VERDADERO,ECULIZUMAB,ECULIZUMAB,,10mg,SOLUCION CONCENTRADA PARA INFUSION,SOLIRIS,ALEXION PHARMA COLOMBIA,ASTRAZENECA COLOMBIA S.A.S,PATHEON ITALIA S.P.A,INTRAVENOSA,CAJA QUE CONTIENE 1 VIAL DE VIDRIO TIPO I DE 30 ML DE SOLUCIÃ“N CONCENTRADA DE ECULIZUMAB CON TAPÃ“N DE BUTILO SILICONADO Y SELLO DE ALUMINIO.SIN DATOSIN DATO
184023,184023,EFAVIRENZ 600MG,1840230,EFAVIRENZ 600MG TABLETA ORAL AUROBINDO CJ *30U,46,MEDICAMENTO,NO,N,MER,,2022M-0006261-R2,19962596,1,19962596-1,19962596-01,19962596-1,PBS,E,J05AG03,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,EFAVIRENZ 600MG CAP / TAB / TAB REC,Activo,12,ok,19962596-1,VERDADERO,EFAVIRENZ,EFAVIRENZ,,600mg,TABLETA,EFAVIRENZ,AUROBINDO,AUROBINDO PHARMA COLOMBIA S.A.S.,#N/D,ORAL,CAJA POR UN FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 30 TABLETAS.
149287,149287,ELECARE X 400 GR (2550 CC),149287,ALIMENTO PARA PROPOSITOS MEDICOS ESPECIALES POLVO ORAL TARRO *400G ABBOTT (ELECARE) (2550 CC),93,SOPORTE NUTRICIONAL APME,NO,N,N/A,,RSA-000948-2016,20107198,0,20107198-0,20107198-0,20107198-0,NO PBS,N/A,N/A,ML,MILILITROS,ALMACENAR A <30 GRADOS CENTIGRADOS,170137,N,N,N,ELECARE X 400 GR (2550 CC),NUTRICIONAL,#N/D,ok,N/A-N/A,VERDADERO,ELECARE,NO APLICA,,NA,POLVO PARA RECONSTITUIR A SOLUCION ORAL,ELECARE,ABBOTT,#N/D,#N/D,ORAL,#N/D
168084,168084,ELEMENTOS TRAZA 10 ML (NULANZA),1680840,ELEMENTOS TRAZA (ZN/CU/CR/MN/SE/F/KI/FE/MO) 10ML SOL INYECTABLE IV AMP *10ML FRESENIUS (NULANZA),96,MEDICAMENTO,NO,N,N/A,,2016M-0017443,20094398,1,20094398-1,20094398-01,20094398-1,PBS,E,B05BA10,AP,AMPOLLAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,COBRE CLORURO+CROMICO CLORURO+FERRICO CLORURO+FLUORURO DE SODIO+MANGANESO CLORURO+MOLIBDATO SODIO+POTACION YODURO+SELENITO SODIO+ZINC CLORURO (1023+53.30+5400+2100+197.90+48.50+166+172.90)MCG+10.50MG SOL INY,Activo,180,ok,20094398-1,VERDADERO,COBRE CLORURO+CROMICO CLORURO+FERRICO CLORURO+FLUORURO DE SODIO+MANGANESO CLORURO+MOLIBDATO SODIO+POTACION YODURO+SELENITO SODIO+ZINC CLORURO,COMBINACIONES,,"9172,1mcg",SOLUCION CONCENTRADA PARA INFUSION,NULANZA,FRESENIUS KABI,FRESENIUS KABI COLOMBIA S.A.S,FRESENIUS KABI AB NORGE A.S.,INTRAVENOSA,CAJA POR 20 AMPOLLAS EN POLIPROPILENO POR 10 ML DE SOLUCIÃ“N CONCENTRADA PARA INFUSIÃ“N
149279,149279,ELEMENTOS TRAZA PEDIATRICO 10 ML,1492790,ELEMENTOS TRAZA (ZN/CU/MN/SE/F/I)PEDIATRICO SOL INYECTABLE IV VIAL *10ML FRESENIUS (PEDITRACE),94,MEDICAMENTO,NO,N,N/A,,2021M-13989-R2,19901161,4,19901161-4,19901161-04,19901161-4,PBS,E,B05XA31,VL,VIAL,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,ELEMENTOS TRAZA MULTIPLES COMPONENTES SOL INY,Activo,90,ajustadon en excel para hora cero,19901161-4,Cum Negociado columna AI. Actualizar SERVINTE. CUM de Base Excel OK,ELEMENTOS TRAZA MULTIPLES COMPONENTES,ELECTROLITOS EN COMBINACION CON OTROS FARMACOS,,"709,99mcg",SOLUCION CONCENTRADA PARA INFUSION,PEDITRACE,FRESENIUS KABI,FRESENIUS KABI COLOMBIA S.A.S,FRESENIUS KABI NORGE A.S.,INTRAVENOSA,CAJA POR 10 VIALES DE RESINA PP CON TAPA INSERTO DE PP CUBIERTA DE ELASTÃ“MERO TERMOPLASTICO POR 10 ML CADA UNO.
149203,149203,ELEMENTOS TRAZA M.T.E 5ML SLN INY,1492030,ELEMENTOS TRAZA (ZN/CU/CR/MN) SOL INYECTABLE IV VIAL *5ML CORPAUL,65,MEDICAMENTO,NO,N,N/A,,2023M-0004399-R2,19951485,3,19951485-3,19951485-03,19951485-3,PBS,E,A11AA04,VL,VIAL,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,ELEMENTOS TRAZA MULTIPLES COMPONENTES SOL INY,Activo,#N/D,ok,#N/D,Medicamento sin negociacion vigente. Ningun proveedor lo cotizo,ELEMENTOS TRAZA MULTIPLES COMPONENTES,MULTIVITAMINAS Y ELEMENTOS TRAZA,,"7,516mg",SOLUCION INYECTABLE,,CORPAUL,#N/D,CORPORACION DE FOMENTO ASISTENCIAL DEL HOSPITAL UNIVERSITARIO SAN VICENTE DE PAUL - CORPAUL,INTRAVENOSA,AMPOLLA DE 5 ML EN POLIETILENO DE BAJA DENSIDAD (PEBD) ATÃ“XICO. EN CAJA DE CARTÃ“N LISO POR 25 UNIDADES.
158030,158030,ELTROMBOPAG 25 MG,1580300,ELTROMBOPAG 25MG TABLETA RECUBIERTA ORAL NOVARTIS CJ *28U (REVOLADE),68,MEDICAMENTO,NO,N,MER,,2022M-0011934-R2,20019167,2,20019167-2,20019167-02,20019167-2,PBS,V,B02BX05,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,ELTROMBOPAG 25MG CAP / TAB / TAB REC,Activo,84,ok,20019167-2,VERDADERO,ELTROMBOPAG,ELTROMBOPAG,,25mg,TABLETA RECUBIERTA,REVOLADE,NOVARTIS PHARMA A.G.,NOVARTIS DE COLOMBIA S.A.,SIEGFRIED BARBERA S.L,ORAL,CAJASIN DATOXSIN DATO28SIN DATOTABLETASSIN DATORECUBIERTAS EN BLISTER X 7SIN DATOTABLETAS BLISTER.
1135700,1135700,EMPAGLIFLOZINA 10MG TABLETA JARDIANCE BOEHRINGER INGELHEIM INTER. GMBH.,1135700,EMPAGLIFLOZINA 10MG TABLETA RECUBIERTA ORAL BOEHRINGER CJ *30U (JARDIANCE),74,MEDICAMENTO,NO,N,MER,,2020M-0016002-R1,20073367,3,20073367-3,20073367-03,20073367-3,PBS,N/A,A10BK03,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,EMPAGLIFLOZINA 10MG CAP / TAB / TAB REC,Activo,80,ok,20073367-3,VERDADERO,EMPAGLIFLOZINA,EMPAGLIFLOZINA,,10mg,TABLETA RECUBIERTA,JARDIANCE,BOEHRINGER INGELHEIM,BOEHRINGER INGELHEIM S. A.,BOEHRINGER INGELHEIM PHARMA GMBH & CO. KG.,ORAL,CAJA CON BLISTERSIN DATODE PVC/ALUMINIOSIN DATOPOR 30 TABLETAS RECUBIERTAS
1136700,1136700,EMPAGLIFLOZINA 25MG TABLETA JARDIANCE BOEHRINGER INGELHEIM INTER. GMBH.,1136700,EMPAGLIFLOZINA 25MG TABLETA RECUBIERTA ORAL BOEHRINGER CJ *30U (JARDIANCE),74,MEDICAMENTO,NO,N,MER,,2020M-0015993-R1,20061998,3,20061998-3,20061998-03,20061998-3,PBS,N/A,A10BK03,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,EMPAGLIFLOZINA 25MG CAP / TAB / TAB REC,Activo,0,ok,20061998-3,VERDADERO,EMPAGLIFLOZINA,EMPAGLIFLOZINA,,25mg,TABLETA RECUBIERTA,JARDIANCE,BOEHRINGER INGELHEIM,BOEHRINGER INGELHEIM S. A.,BOEHRINGER INGELHEIM PHARMA GMBH & CO. KG,ORAL,CAJA EN BLISTER ALU/PVC X 30 COMPRIMIDOS RECUBIERTOS
133010,133010,ENALAPRIL MALEATO 20MG,1330100,ENALAPRIL MALEATO 20MG TABLETA ORAL AMERICAN GENERICS,53,MEDICAMENTO,NO,N,N/A,,2023M-012985-R4,44569,25,44569-25,44569-25,44569-25,PBS,E,C09AA02,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,S,ENALAPRIL 20MG CAP / TAB / TAB REC,Activo,214,ajustadon en excel para hora cero,44569-25,Cum Negociado columna AI. Actualizar SERVINTE. CUM de Base Excel OK,ENALAPRIL MALEATO,ENALAPRIL,,20mg,TABLETA,,AMERICAN GENERICS,#N/D,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.,ORAL,CAJA PLEGADIZA CON 10 BLISTER DE ALU/ALU FORMAPACK FOIL ALUMINIO POR 15 TAB C/U.
157007,1570071,ENOXAPARINA SOD. 40MG/0.4 ML SLN INYECTABLE JER/PRELLENA*0.4ML DISP. SEGURIDAD CLEXANE SANOFI CJ*10U,1570071,ENOXAPARINA 40MG/0.4ML SOL INYECTABLE SC JER PRELLENA *0.4ML SANOFI CJ *10U (CLEXANE),85,MEDICAMENTO,NO,N,MER,,2021MB-011547-R4,36241,7,36241-7,36241-07,36241-7,PBS,V,B01AB05,JP,JERINGA PRELLENADA,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,N,S,ENOXAPARINA 40MG/0.4ML(100MG/ML) SOL INY,Activo,2873,ok,36241-7,VERDADERO,ENOXAPARINA SODICA,ENOXAPARINA,,40mg,SOLUCION INYECTABLE,CLEXANE,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI WINTHROP INDUSTRIE,INTRA-ARTERIAL,CAJA POR 10 JERINGAS PRELLENADAS CON SISTEMA DE SEGURIDAD (2 PRE-FILLED SYRINGES WITH SAFETY LOCK)
157016,157016,HEPARINA BPM 80 MG (ENOXAPARINA) SLN INY,1570160,ENOXAPARINA 80MG/0.8ML SOL INYECTABLE SC JER PRELLENA *0.8ML PROCAPS CJ *1U (CLEXANE),85,MEDICAMENTO,NO,N,MER,,2015M-0004412-R1,56401,2,56401-2,56401-02,56401-2,PBS,V,B01AB05,JP,JERINGA PRELLENADA,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,N,S,ENOXAPARINA 80MG/0.8ML(100MG/ML) SOL INY,Activo,#N/D,ok,#N/D,Medicamento sin negociacion vigente. Se indica jefatura farmacia el producto que no se maneja en Cardio,ENOXAPARINA SODICA,ENOXAPARINA,,80mg,SOLUCION INYECTABLE,CLEXANE,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI WINTHROP INDUSTRIE,INTRAVENOSA,CAJA PLEGADIZA CON 10 JERINGASSIN DATOPRELLENADAS DE VIDRIO TIPO I CON UNA AGUJA DE ACERO INOXIDABLE Y TAPÃ“N DE CAUCHO CONTENIENDO 80 MG DE ENOXAPARINA SODICA.
157008,157008,HEPARINA BPM 20 MG (ENOXAPARINA),1570080,ENOXAPARINA 20MG/0.2ML SOL INYECTABLE SC JER PRELLENA*0.2ML SANOFI CJ *10U (CLEXANE),84,MEDICAMENTO,NO,N,MER,,2021MB-011485-R4,36240,4,36240-4,36240-04,36240-4,PBS,V,B01AB05,JP,JERINGA PRELLENADA,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,N,S,ENOXAPARINA 20MG/0.2ML(100MG/ML) SOL INY,Activo,67,ajustadon en excel para hora cero,36240-3,Actualizar Cum Negociacion 2024-2025,ENOXAPARINA SODICA,ENOXAPARINA,,20mg,SOLUCION INYECTABLE,CLEXANE,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI WINTHROP INDUSTRIE,INTRAVENOSA,ESTUCHE POR 10 JERINGAS PRELLENADAS.
157025,157025,HEPARINA BPM 60 MG (ENOXAPARINA) SLN INY,1570250,ENOXAPARINA 60MG/0.6ML SOL INYECTABLE SC JER PRELLENA *0.6ML SANOFI CJ *10U (CLEXANE),85,MEDICAMENTO,NO,N,MER,,2021MB-001193-R3,56400,6,56400-6,56400-06,56400-6,PBS,V,B01AB05,JP,JERINGA PRELLENADA,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,N,S,ENOXAPARINA 60MG/0.6ML(100MG/ML) SOL INY,Activo,1,producto con saldo. Se deben agotar existencias para eliminar de activos en estandar semantico,#N/D,Se maneja codigo 1570251 con CUM 56400-2. Actual entregado por proveedor. Cambio de codigo por CUM,ENOXAPARINA SODICA,ENOXAPARINA,,60mg,SOLUCION INYECTABLE,CLEXANE,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI WINTHROP INDUSTRIE,INTRA-ARTERIAL,CAJA POR 10 JERINGAS PRELLENADAS
157025,1570251,ENOXAPARINA SODICA 60 MG/0.6 ML SLN INYECTABLE JER. PRELLENA*0.6 ML DISP. SEGURIDAD CLEXANE SANOFI CJ*10U,1570251,ENOXAPARINA 60MG/0.6ML SOL INYECTABLE SC JER PRELLENA SIST SEGURIDAD *0.6ML SANOFI CJ *10U (CLEXANE),100,MEDICAMENTO,NO,N,MER,,2021MB-001193-R3,56400,2,56400-2,56400-02,56400-2,PBS,V,B01AB05,JP,JERINGA PRELLENADA,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ENOXAPARINA 60MG/0.6ML(100MG/ML) SOL INY,Activo,736,ok,56400-2,VERDADERO,ENOXAPARINA SODICA,ENOXAPARINA,,60mg,SOLUCION INYECTABLE,CLEXANE,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI WINTHROP INDUSTRIE,SUBCUTANEA,CAJA POR 10 JERINGAS PRELLENADAS CON SISTEMA DE SEGURIDAD.
157016,1570161,HEPARINA BPM 80 MG (ENOXAPARINA) SLN INY,1570161,ENOXAPARINA 80MG/0.8ML SOL INYECTABLE SC JER PRELLENA *0.8ML SANOFI CJ *10U (CLEXANE),85,MEDICAMENTO,NO,N,MER,,2021MB-000606-R3,56401,4,56401-4,56401-04,56401-4,PBS,V,B01AB05,JP,JERINGA PRELLENADA,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,N,S,ENOXAPARINA 80MG/0.8ML(100MG/ML) SOL INY,Activo,626,ok,56401-4,VERDADERO,ENOXAPARINA SODICA,ENOXAPARINA,,80mg,SOLUCION INYECTABLE,CLEXANE,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI-AVENTIS DE COLOMBIA S.A.,SANOFI WINTHROP INDUSTRIE,INTRA-ARTERIAL,CAJA PLEGADIZA CON 10 JERINGAS PRELLENADAS DE VIDRIO TIPO I CON AGUJA DE ACERO INOXIDABLE Y TAPÃ“N DE CAUCHO CONTENIENDO 80MG DE ENOXAPARINA SODICASIN DATOCON SISTEMA DE SEGURIDAD.
162035,162035,LEVODOPA CARBIDOPA ENTACAPONA 50MG 12.5MG 200MG (STALEVO),1620350,ENTACAPONA 200MG/LEVODOPA 50MG/CARBIDOPA 12.5 MG TABLETA RECUBIERTA ORAL SANDOZ CJ*30 U (STALEVO),97,MEDICAMENTO,NO,N,MER,,2015M-0004234-R1,19951169,2,19951169-2,19951169-02,19951169-2,PBS,E,N04BA02,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,S,CARBIDOPA+ENTACAPONA+LEVODOPA (12.5+200+50)MG CAP / TAB / TAB REC,Activo,15,ok,19951169-2,VERDADERO,CARBIDOPA+ENTACAPONA+LEVODOPA,LEVODOPA E INHIBIDOR DE DECARBOXILASA,,"200mg/50mg/12,5mg",TABLETA CUBIERTA CON PELICULA,STALEVO,SANDOZ GMBH,PHARMALAB PHL LABORATORIOS SAS,ORION CORPORATION,ORAL,CAJA CON FRASCO DE POLIETILENO DE ALTA DENSIDAD BLANCO POR 30 COMPRIMIDOS CON CUBIERTA PELICULAR.
184026,184026,ENTECAVIR 0.5 MG,1840260,ENTECAVIR 0.5MG TABLETA RECUBIERTA ORAL BRISTOL CJ *30U (BARACLUDE),67,MEDICAMENTO,NO,N,MER,,2022M-0005859-R2,19964241,1,19964241-1,19964241-01,19964241-1,PBS,E,J05AF10,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,S,ENTECAVIR 0.5MG CAP / TAB / TAB REC,Activo,30,ok,19964241-1,VERDADERO,ENTECAVIR,ENTECAVIR,,0.5mg,TABLETA RECUBIERTA,BARACLUDE,BRISTOL MYERS,BRISTOL MYERS SQUIBB DE COLOMBIA S.A,PATHEON INC.,ORAL,CAJA CON UN FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 30 TABLETAS RECUBIERTAS
184035,184035,ENTECAVIR 1 MG,1840350,ENTECAVIR 1MG TABLETA RECUBIERTA ORAL BRISTOL CJ *30U (BERACLUDE),65,MEDICAMENTO,NO,N,MER,,2022M-0005860-R2,19964164,1,19964164-1,19964164-01,19964164-1,PBS,N/A,J05AF10,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,N,ENTECAVIR 1MG CAP / TAB / TAB REC,Activo,#N/D,ok,19964164-1,VERDADERO,ENTECAVIR,ENTECAVIR,,1mg,TABLETA RECUBIERTA,BARACLUDE,BRISTOL MYERS,BRISTOL MYERS SQUIBB DE COLOMBIA S.A,ASTRAZENECA PHARMACEUTICALS LP,ORAL,CAJA CON UN FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 30 TABLETAS RECUBIERTAS
137001,137001,EPINEFRINA CLORH 1MG ML SLN INY 1 MG/ML,1370010,EPINEFRINA 1MG/1ML SOL INYECTABLE IV AMP *1ML BIOSANO,53,MEDICAMENTO,NO,N,N/A,,2023M-0012719-R2,20032463,3,20032463-3,20032463-03,20032463-3,PBS,V,A01AD01,AP,AMPOLLAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,S,S,ADRENALINA (EPINEFRINA) 1MG/ML SOL INY,Activo,500,ok,20032463-3,VERDADERO,ADRENALINA (EPINEFRINA),EPINEFRINA,,1mg,SOLUCION INYECTABLE,,LABORATORIO BIOSANO S.A.,PHARMA TRADING COLOMBIA ZF SAS,LABORATORIO BIOSANO S.A.,SUBCUTANEA,CAJA DE CARTÃ“N ETIQUETADA O IMPRESA X 100 AMPOLLAS DE VIDRIO BOROSILICATO ÃMBAR TIPO 1. ROTULADA. CONTENIENDO 1 ML DE SOLUCIÃ“N INYECTABLE. DENTRO O NO DE UN BLISTERPACK DE PAPEL PVC O TERMOFORMADO.
137001,1370012,EPINEFRINA CLORH 1MG ML SLN INY 1 MG/ML,1370012,EPINEFRINA 1MG/1ML SOL INYECTABLE IV AMP *1ML RYAN,50,MEDICAMENTO,NO,N,N/A,,2023M-0012930-R2,20036851,2,20036851-2,20036851-02,20036851-2,PBS,V,C01CA24,AP,AMPOLLAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,N,S,ADRENALINA (EPINEFRINA) 1MG/ML SOL INY,Activo,4030,ajustadon en excel para hora cero,20036851-1,Cum Negociado columna AI. Actualizar SERVINTE. CUM de Base Excel OK,ADRENALINA (EPINEFRINA),EPINEFRINA,,1mg,SOLUCION INYECTABLE,,LABORATORIOS RYAN DE COLOMBIA S.A.S,#N/D,LABORATORIOS RYAN DE COLOMBIA S.A.S.,SUBCUTANEA,CAJA DE CARTULINA PORSIN DATO100 AMPOLLETAS EN VIDRIO ÃMBAR TIPO I POR 1 MLSIN DATOPIROGRABADA EN COLOR BLANCO.
